#V1 ;;;;;;;;;;;;;;;
culture;categorie;debut;fin;quantite;planches_interdites;famille;delai_retour;exigeante;salissante;prof_enracinement;besoin_lumiere;exigence_de_soins;surveillance;aspersion;besoins_goute_a_goute
Artichaut;artichaut;7;268;7;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;asteracees;8;non;non;3;soleil;non;;;
Fraise;fraise;7;268;2;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;rosacees;8;oui;non;1;soleil;non;;;
Rhubarbe;rhubarbe;7;268;2;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,61,62,63,64,65,66,67,71,72,73,74,75;polygonacees;8;non;non;3;ombre;non;;;
Ail;ail;42;79;2;11,12,13,14,15,16,17,18,19,20,28,29,23,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;aliacees;4;oui;oui;1;mi-ombre;;;;
Aubergine;aubergine;19;45;1;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,76,77,78,79,80;solanacees;4;oui;non;2;soleil;oui;;;2
Betterave;betterave;13;29;1;;chenopodiacees;2;non;oui;3;mi-ombre;;;;2
Betterave;betterave;34;47;1;;chenopodiacees;2;non;oui;3;mi-ombre;;;;2
Betterave;betterave;38;51;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;chenopodiacees;2;non;oui;3;mi-ombre;;;;2
Brocoli;brocoli;33;40;1;;brassicacees;4;oui;non;3;mi-ombre;;;;1
Brocoli;brocoli;33;43;1;;brassicacees;4;oui;non;3;mi-ombre;;;;1
Brocoli;brocoli;33;56;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;brassicacees;4;oui;non;3;mi-ombre;;;;1
Butternut;courges;22;36;2;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80;cucurbitacees;4;oui;non;3;soleil;;;non;1
Carotte;carotte;11;32;2;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80;apiacees;2;non;oui;3;mi-ombre;oui;oui;oui;3
Chou Cabus;choux;33;45;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;brassicacees;4;oui;non;3;mi-ombre;;;;1
Chou Cabus;choux;33;58;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;brassicacees;4;oui;non;3;mi-ombre;;;;1
Chou de milan;choux;33;54;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;brassicacees;4;oui;non;3;mi-ombre;;;;1
chou frise;choux;11;58;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;brassicacees;4;oui;non;3;mi-ombre;;;;1
Chou Romanesco;choux;33;51;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;brassicacees;4;oui;non;3;mi-ombre;;;;1
Chou-fleur;choux;33;43;1;;brassicacees;4;oui;non;3;mi-ombre;;;;1
Chou-fleur;choux;33;53;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;brassicacees;4;oui;non;3;mi-ombre;;;;1
Chou-fleur;choux;33;57;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;brassicacees;4;oui;non;3;mi-ombre;;;;1
Chou-rave fenouil;fenouil;37;46;2;;apiacees;2;non;oui;1;mi-ombre;oui;;oui;2
Concombre;concombre;20;35;1;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80;solanacees;4;oui;non;2;soleil;;;non;3
Courge;courges;19;39;6;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80;cucurbitacees;4;oui;non;3;soleil;;;non;1
Courgette;courgette;18;33;2;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80;cucurbitacees;4;oui;non;2;soleil;;;;2
Courgette;courgette;23;37;2;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80;cucurbitacees;4;oui;non;2;soleil;;;;2
Echalotte;oignon;10;27;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;aliacees;4;oui;oui;1;mi-ombre;oui;;;1
Engrais vert ete ;engrais_vert;39;112;8;;engrais_vert;8;non;non;3;ombre;;;;
Engrais vert hiver ;engrais_vert;39;59;27;;engrais_vert;0;non;non;3;ombre;;;;
epinard;epinard;41;59;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;chenopodiacees;2;non;non;1;mi-ombre;;;;1
Haricot;haricot;18;34;1;;fabacees;2;non;oui;2;mi-ombre;;;non;2
Laitue;salade;14;28;1;;asteracees;2;non;non;1;ombre;oui;;;2
Laitue;salade;18;31;1;;asteracees;2;non;non;1;ombre;oui;;;2
Laitue;salade;38;52;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;asteracees;2;non;non;1;ombre;oui;;;2
Laitue;salade;42;57;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;asteracees;2;non;non;1;ombre;oui;;;2
Melon;melon;16;36;2;;cucurbitacees;4;oui;non;3;soleil;;;non;1
Melon;melon;20;37;2;;cucurbitacees;4;oui;non;3;soleil;;;non;1
Navet;navet;10;23;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;brassicacees;2;non;oui;2;mi-ombre;oui;;;2
Navet;navet;34;47;1;;brassicacees;2;non;oui;2;mi-ombre;oui;;;2
Navet;navet;38;49;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;brassicacees;2;non;oui;2;mi-ombre;oui;;;2
Oignon;oignon;15;25;4;;aliacees;4;oui;oui;1;mi-ombre;oui;;;1
Pasteque;courges;16;36;2;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80;cucurbitacees;4;oui;non;3;soleil;;;non;1
Patate douce;autres;20;52;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;convolvulacees;4;oui;non;3;mi-ombre;;;;
Poireau;poireau;27;58;5;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,58,59,60,68,69,70,71,72,73,74,75,76,77,78,79,80;aliacees;4;oui;oui;1;mi-ombre;;;;1
Poivron;poivron;19;47;1;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70;solanacees;4;oui;non;3;soleil;oui;;;1
Pomme de terre;pomme_de_terre;14;30;4;;solanacees;4;oui;non;2;mi-ombre;;;non;1
Potimarron;courges;22;36;2;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,58,59,60,68,69,70,76,77,78,79,80;cucurbitacees;4;oui;non;3;soleil;;;non;1
Radis rave;radis;37;57;1;11,12,13,14,15,16,17,18,19,20,28,29,30,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80;brassicacees;2;oui;oui;1;ombre;oui;oui;;3
Tomates cerise;tomates;17;43;1;16,17,18,19,20,28,29,30,38,39,40,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,76,77,78,79,80;solanacees;4;oui;non;3;soleil;oui;;;2
