#V1;;;;;;
planche;planche_contact;ombre_ete;ombre_hiver;proximite_atelier;proximite_chemin;jardins
1;2;non;non;2;oui;A
2;1,3;non;non;2;oui;A
3;2,4;non;non;2;oui;A
4;3,5;non;non;2;oui;A
5;4,6;non;non;2;oui;A
6;5,7;non;non;2;oui;A
7;6,8;non;non;2;oui;A
8;7,9;non;non;2;oui;A
9;8,1;non;non;2;oui;A
10;9;non;non;2;oui;A
11;12;non;oui;1;oui;B
12;11,13;non;oui;1;oui;B
13;12,14;non;oui;1;oui;B
14;13,15;non;oui;1;oui;B
15;14,16;non;oui;1;oui;B
16;15,17;oui;oui;1;oui;B
17;16,18;oui;oui;1;oui;B
18;17,19;oui;oui;1;oui;B
19;18,2;oui;oui;1;oui;B
20;19;oui;oui;1;oui;B
21;22;non;non;3;oui;C
22;21,23;non;non;3;oui;C
23;22,24;non;non;3;oui;C
24;23,25;non;non;3;oui;C
25;24,26;non;non;3;oui;C
26;25,27;non;non;3;oui;C
27;26,28;non;non;3;oui;C
28;27,29;oui;oui;3;oui;C
29;28,3;oui;oui;3;oui;C
30;29;oui;oui;3;oui;C
31;32;non;non;2;oui;D
32;31,33;non;non;2;oui;D
33;32,34;non;non;2;oui;D
34;33,35;non;non;2;oui;D
35;34,36;non;non;2;oui;D
36;35,37;non;non;2;oui;D
37;36,38;non;non;2;oui;D
38;37,39;oui;oui;2;oui;D
39;38,4;oui;oui;2;oui;D
40;39;oui;oui;2;oui;D
41;42;non;oui;1;oui;E
42;41,43;non;oui;1;oui;E
43;42,44;non;oui;1;oui;E
44;43,45;non;oui;1;oui;E
45;44,46;non;oui;1;oui;E
46;45,47;oui;oui;1;oui;E
47;46,48;oui;oui;1;oui;E
48;47,49;oui;oui;1;oui;E
49;48,5;oui;oui;1;oui;E
50;49;oui;oui;1;oui;E
51;52;non;non;4;non;F
52;51,53;non;non;4;non;F
53;52,54;non;non;4;non;F
54;53,55;non;non;4;non;F
55;54,56;non;non;4;non;F
56;55,57;non;non;4;non;F
57;56,58;non;non;4;non;F
58;57,59;oui;oui;4;non;F
59;58,6;oui;oui;4;non;F
60;59;oui;oui;4;non;F
61;62;non;non;4;non;G
62;61,63;non;non;4;non;G
63;62,64;non;non;4;non;G
64;63,65;non;non;4;non;G
65;64,66;non;non;4;non;G
66;65,67;non;non;4;non;G
67;66,68;non;non;4;non;G
68;67,69;oui;oui;4;non;G
69;68,7;oui;oui;4;non;G
70;69;oui;oui;4;non;G
71;72;non;oui;3;non;H
72;71,73;non;oui;3;non;H
73;72,74;non;oui;3;non;H
74;73,75;non;oui;3;non;H
75;74,76;non;oui;3;non;H
76;75,77;oui;oui;3;non;H
77;76,78;oui;oui;3;non;H
78;77,79;oui;oui;3;non;H
79;78,80;oui;oui;3;non;H
80;79;oui;oui;3;non;H
